Year,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2024,40,61,26,39,19,64,39,50,44,48,52,50,50,50,48,37,48,49,21,51,68,41,24,36,36,40,34,30,17,18
2023,36,64,32,39,21,48,50,57,14,46,41,47,51,47,27,46,49,56,49,50,57,47,47,49,21,46,22,25,31,15
2022,41,57,45,40,27,51,38,53,17,44,22,35,44,43,51,44,58,42,42,47,40,34,54,45,33,48,22,41,37,35
2021,43,51,44,46,43,44,52,48,23,53,20,25,42,33,56,53,51,46,36,37,24,22,51,64,27,30,34,48,49,35
2020,41,36,48,31,33,22,42,47,20,39,17,34,47,42,38,40,46,23,31,41,22,21,49,51,42,31,33,27,52,34
2019,20,48,35,22,23,19,43,46,20,15,44,45,49,52,34,44,56,19,30,21,44,33,43,34,35,31,32,53,44,25
2018,29,49,42,22,39,19,33,54,41,57,53,48,48,37,33,39,60,36,33,17,49,42,51,19,53,39,48,58,50,32
2017,24,55,28,27,36,50,24,46,39,58,65,48,42,35,22,44,44,47,48,29,48,25,52,21,49,27,47,59,48,43
2016,43,53,20,41,36,51,33,40,37,67,55,42,51,26,43,41,42,31,34,31,47,29,28,24,41,32,61,51,51,49
2015,48,48,21,42,48,57,42,33,44,73,41,45,53,17,42,48,33,29,30,32,55,35,10,23,44,33,67,56,40,41
2014,60,40,38,50,33,53,50,30,32,67,56,38,56,21,55,37,41,16,45,17,45,25,18,39,51,29,55,49,38,46
2013,38,25,44,48,43,33,49,36,29,51,54,56,57,27,50,54,15,40,34,37,59,23,19,48,54,28,62,48,25,44
2012,44,41,49,45,21,24,41,57,29,47,45,49,56,45,56,66,38,31,27,54,60,20,34,25,33,28,58,34,43,29
2011,40,39,22,50,7,21,36,38,25,23,34,42,40,41,41,46,31,26,21,36,47,37,35,33,28,22,50,23,36,20
2010,44,56,24,62,34,19,57,50,30,36,43,37,32,57,46,58,35,17,46,42,55,52,41,40,48,24,61,22,39,23
2009,53,50,12,41,44,61,55,53,27,26,42,32,29,57,40,47,46,15,37,29,50,59,27,54,50,25,50,40,53,26
2008,47,62,34,41,35,66,50,54,39,29,53,36,19,65,24,43,34,24,49,32,23,59,41,46,54,17,54,33,48,19
2007,37,66,34,33,32,45,51,50,59,48,55,36,23,57,22,15,26,22,56,23,20,52,40,55,41,38,56,41,54,43
2006,30,24,41,49,33,50,67,45,53,42,52,35,40,42,22,44,28,32,39,33,31,40,35,61,32,33,58,47,51,41
2005,26,33,49,41,26,50,60,44,64,34,34,41,47,45,49,52,40,33,38,23,35,36,38,54,21,44,63,27,41,42
2004,13,45,42,47,18,42,58,49,54,34,51,44,37,34,45,59,30,44,18,33,52,36,43,62,27,50,59,33,26,45
2003,28,36,47,23,0,35,52,43,54,37,45,61,28,56,50,42,41,58,41,39,37,21,33,29,41,55,57,33,42,25
2002,35,44,49,30,0,17,60,17,50,38,43,48,27,50,28,25,42,51,47,37,40,42,48,44,50,59,60,24,47,37
2001,33,49,52,21,44,29,57,27,50,21,28,42,39,58,23,36,41,50,0,30,45,44,43,36,49,61,58,42,44,37
2000,25,36,26,15,46,30,53,40,32,17,45,41,31,56,23,50,52,47,0,48,44,43,56,51,50,55,58,47,53,19
1999,28,35,31,17,49,32,40,35,42,19,34,56,15,67,22,52,42,50,0,50,45,41,49,53,59,44,53,45,55,29
1998,31,19,16,13,26,22,19,14,29,21,31,33,9,31,8,33,28,25,0,27,25,33,28,27,35,27,37,23,37,18
1997,50,36,43,62,51,47,20,11,37,19,41,58,17,61,19,55,36,45,0,43,61,41,31,56,46,27,56,16,62,42
1996,56,15,26,69,54,42,24,21,54,30,57,39,36,56,14,61,33,40,0,57,57,45,22,40,49,34,20,30,64,44
1995,46,33,30,72,41,47,26,35,46,36,48,52,29,53,15,42,25,26,0,47,64,60,18,41,44,39,59,21,55,39
1994,42,35,30,47,50,43,36,41,28,26,47,52,17,48,0,32,34,21,0,55,57,57,24,59,44,39,62,0,60,21
1993,57,32,45,55,41,47,13,42,20,50,58,47,27,33,0,42,20,20,0,57,63,50,25,56,47,28,55,0,53,24
1992,43,48,43,57,44,54,11,36,40,34,55,41,41,39,0,36,28,19,0,60,55,41,26,62,51,25,49,0,47,22
1991,38,51,40,67,31,57,22,24,48,55,42,40,45,43,0,38,31,15,0,51,47,21,35,53,57,29,47,0,55,25
1990,43,56,26,61,26,33,28,20,50,44,52,41,31,58,0,24,48,29,0,39,41,31,44,55,63,25,55,0,54,30
1989,41,52,17,55,19,42,47,43,59,37,41,42,30,63,0,18,44,22,0,45,41,18,53,54,59,23,56,0,55,31
1988,52,42,26,47,20,57,38,44,63,43,45,28,21,57,0,15,49,0,0,52,47,0,46,55,39,27,21,0,51,40
1987,50,57,19,50,0,42,53,54,54,20,46,38,17,62,0,0,42,0,0,38,44,0,36,28,53,24,31,0,47,38
1986,57,59,24,40,0,31,55,37,52,42,42,41,12,65,0,0,50,0,0,24,39,0,45,36,49,29,28,0,44,42
1985,50,67,39,30,0,29,44,47,46,30,51,26,32,62,0,0,57,0,0,23,31,0,54,32,40,37,35,0,42,39
1984,34,63,42,38,0,36,44,52,46,22,48,22,31,62,0,0,59,0,0,24,31,0,58,36,42,31,41,0,41,40
1983,40,62,45,27,0,28,43,38,49,37,29,26,30,54,0,0,50,0,0,47,42,0,52,41,48,38,37,0,45,35
1982,43,56,49,28,0,23,38,45,37,30,14,20,25,58,0,0,51,0,0,44,48,0,65,53,46,45,53,0,30,42
1981,42,63,44,34,0,15,28,46,39,45,46,35,17,57,0,0,55,0,0,33,52,0,58,46,42,30,48,0,25,43
1980,31,62,24,45,0,28,15,37,21,39,40,44,36,54,0,0,60,0,0,50,34,0,62,57,45,40,52,0,28,39
1979,50,61,34,30,0,37,0,30,16,24,41,37,35,60,0,0,49,0,0,39,56,0,59,55,38,47,41,0,24,39
1978,46,29,37,31,0,30,0,47,30,38,47,38,43,47,0,0,38,0,0,31,52,0,47,50,45,48,48,0,26,54
1977,41,32,24,40,0,43,0,48,38,43,28,31,27,45,0,0,44,0,0,43,47,0,55,49,58,31,52,0,39,44
